"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L123","SpecialSeq","test.SpecialSeq","L104","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\core\containersrc\test\SpecialSeq.java","28","1","64","2","0","0","0","0","0","0","0","0","1","1","1","6","7","0","0","5","9","0.4","0.290323","9","9","2","3","0.290323","9","2","3","0","0","2","22","37","12","9","3","0","4","0","4","0","42","8","0","32","7","22","37","12","9","3","0","4","0","4","0","42","8","0","32","7","0","0","6","1","3","0","0","1","0","0","0","0","0","0","2","0","5","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"L183","ContainsOnlyInner","test.ContainsOnlyInner","L104","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src4\test\ContainsOnlyInner.java","19","1","23","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","5","1","1","0","0","1","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L201","MethodParam","test.MethodParam","L104","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src4\test\MethodParam.java","19","1","23","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","5","1","1","0","0","1","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L198","Outer","test.Outer","L104","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src4\test\Outer.java","19","1","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L281","Task1","Task1","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\core\loaderref\src\Task1.java","19","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","1","2","2","9","9","0","0","0","0","0","0","38","0","0","28","7","2","2","9","9","0","0","0","0","0","0","38","0","0","28","7","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L283","Alpha","Alpha","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\manifestclasspath\Alpha.java","17","1","21","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0.5","0.761905","16","16","1","1","0.761905","16","0","0","1","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L290","Beta","Beta","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\manifestclasspath\Beta.java","17","1","25","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","1","3","0.333333","0.64","16","16","1","2","0.64","16","1","1","0","0","1","9","9","0","0","0","0","2","0","2","0","3","3","0","3","0","9","9","0","0","0","0","2","0","2","0","3","3","0","3","0","0","0","5","1","2","0","0","1","0","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L308","A","A","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src1\A.java","17","1","19","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0.842105","16","16","1","0","0.842105","16","2","2","0","0","1","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L310","B","B","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src1\B.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","1","0.888889","16","16","1","0","0.888889","16","1","1","4","4","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L321","C","C","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src1\C.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.888889","16","16","1","0","0.888889","16","0","0","1","5","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L317","D","D","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src1\D.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.888889","16","16","1","0","0.888889","16","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L329","E","E","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src1\E.java","17","1","21","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0.761905","16","16","1","0","0.761905","16","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2","1","2","0","0","1","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L334","A","A","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src2\A.java","17","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.888889","16","16","2","0","0.8","16","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L339","B","B","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src2\B.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.888889","16","16","2","0","0.888889","16","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L342","A","A","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src3\A.java","17","1","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.888889","16","16","2","0","0.727273","16","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","2","0","0","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L349","B","B","L210","L103","C:\SourceMeter\apache-ant-1.10.10\src\etc\testcases\taskdefs\optional\depend\src3\B.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.888889","16","16","2","0","0.888889","16","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
